 Ngrid    =         512 Npart    =    16777216 Nthreads =          32
  Step   Tot/min      Force       Move          Density      IO         Bias       BDM        Analysis
   80   2.9791E-02   2.5642E-02   1.4709E-03   2.6718E-03    0.000        0.000        0.000        0.000    
   81   2.5717E-02   2.1552E-02   1.9290E-03   2.2291E-03    0.000        0.000        0.000        0.000    
   82   3.0434E-02   2.5521E-02   2.5358E-03   2.3705E-03    0.000        0.000        0.000        0.000    
   83   2.8942E-02   2.4919E-02   1.5717E-03   2.4452E-03    0.000        0.000        0.000        0.000    
   84   2.9375E-02   2.5389E-02   1.9132E-03   2.0678E-03    0.000        0.000        0.000        0.000    
   85   2.7084E-02   2.2428E-02   2.3977E-03   2.2519E-03    0.000        0.000        0.000        0.000    
   86   3.0875E-02   2.6307E-02   2.0243E-03   2.5360E-03    0.000        0.000        0.000        0.000    
   87   3.1432E-02   2.6914E-02   1.9811E-03   2.5309E-03    0.000        0.000        0.000        0.000    
   88   3.0009E-02   2.5402E-02   2.1367E-03   2.4635E-03    0.000        0.000        0.000        0.000    
   89   2.9100E-02   2.4402E-02   2.2171E-03   2.4750E-03    0.000        0.000        0.000        0.000    
   90   3.1236E-02   2.6136E-02   2.0177E-03   3.0762E-03    0.000        0.000        0.000        0.000    
   91   3.1225E-02   2.6532E-02   2.1489E-03   2.5370E-03    0.000        0.000        0.000        0.000    
   92   3.0863E-02   2.5493E-02   2.5271E-03   2.8338E-03    0.000        0.000        0.000        0.000    
   93   3.1597E-02   2.6209E-02   2.3471E-03   3.0355E-03    0.000        0.000        0.000        0.000    
   94   2.9529E-02   2.4679E-02   2.1372E-03   2.7069E-03    0.000        0.000        0.000        0.000    
   95   3.0444E-02   2.5337E-02   2.4940E-03   2.6067E-03    0.000        0.000        0.000        0.000    
   96   3.0754E-02   2.5305E-02   2.4991E-03   2.9432E-03    0.000        0.000        0.000        0.000    
   97   3.0269E-02   2.5141E-02   2.3514E-03   2.7710E-03    0.000        0.000        0.000        0.000    
   98   2.9193E-02   2.4583E-02   2.0950E-03   2.5083E-03    0.000        0.000        0.000        0.000    
   99   2.9700E-02   2.4641E-02   2.3992E-03   2.6543E-03    0.000        0.000        0.000        0.000    
  100   3.0584E-02   2.5431E-02   2.2809E-03   2.8653E-03    0.000        0.000        0.000        0.000    
  101   3.1083E-02   2.6367E-02   1.9755E-03   2.7331E-03    0.000        0.000        0.000        0.000    
  102   2.6366E-02   2.1165E-02   2.5861E-03   2.6087E-03    0.000        0.000        0.000        0.000    
  103   3.1197E-02   2.6040E-02   2.2057E-03   2.9449E-03    0.000        0.000        0.000        0.000    
  104   3.1308E-02   2.6540E-02   1.9104E-03   2.8521E-03    0.000        0.000        0.000        0.000    
  105   2.6802E-02   2.1810E-02   2.4015E-03   2.5815E-03    0.000        0.000        0.000        0.000    
  106   3.1159E-02   2.5969E-02   2.1591E-03   3.0245E-03    0.000        0.000        0.000        0.000    
  107   3.2221E-02   2.7079E-02   2.1434E-03   2.9922E-03    0.000        0.000        0.000        0.000    
  108   8.2824E-02   2.7572E-02   2.3656E-03   8.8865E-03   2.6610E-02    0.000        0.000       3.8384E-02
  109   2.7096E-02   2.2218E-02   2.4048E-03   2.4661E-03    0.000        0.000        0.000        0.000    
  110   2.9995E-02   2.5216E-02   2.1561E-03   2.6174E-03    0.000        0.000        0.000        0.000    
  111   2.9195E-02   2.4587E-02   1.8122E-03   2.7898E-03    0.000        0.000        0.000        0.000    
  112   2.5979E-02   2.1192E-02   2.4040E-03   2.3768E-03    0.000        0.000        0.000        0.000    
  113   2.8862E-02   2.4240E-02   1.8939E-03   2.7214E-03    0.000        0.000        0.000        0.000    
  114   2.9526E-02   2.5176E-02   1.9691E-03   2.3743E-03    0.000        0.000        0.000        0.000    
  115   3.0214E-02   2.5398E-02   2.2107E-03   2.6004E-03    0.000        0.000        0.000        0.000    
  116   2.9981E-02   2.4506E-02   2.5070E-03   2.9612E-03    0.000        0.000        0.000        0.000    
  117   3.0375E-02   2.5251E-02   2.2954E-03   2.8211E-03    0.000        0.000        0.000        0.000    
  118   3.0189E-02   2.4887E-02   2.4689E-03   2.8272E-03    0.000        0.000        0.000        0.000    
  119   2.9729E-02   2.4585E-02   2.3979E-03   2.7362E-03    0.000        0.000        0.000        0.000    
  120   3.0723E-02   2.5490E-02   2.4139E-03   2.8135E-03    0.000        0.000        0.000        0.000    
  121   2.7842E-02   2.2833E-02   2.3252E-03   2.6764E-03    0.000        0.000        0.000        0.000    
  122   3.0458E-02   2.5132E-02   2.4918E-03   2.8272E-03    0.000        0.000        0.000        0.000    
