 Ngrid    =         512 Npart    =    16777216 Nthreads =          32
  Step   Tot/min      Force       Move          Density      IO         Bias       BDM        Analysis
  125   0.1935       2.5427E-02   2.3966E-03   8.4200E+04    0.000        0.000        0.000        0.000    
  126   0.1869       2.0038E-02   2.4841E-03   8.4703E+04    0.000        0.000        0.000        0.000    
  127   0.1929       2.4349E-02   2.3173E-03   8.5196E+04    0.000        0.000        0.000        0.000    
  128   0.1933       2.6666E-02   2.1830E-03   8.5700E+04    0.000        0.000        0.000        0.000    
  129   0.1926       2.4314E-02   2.3560E-03   8.6207E+04    0.000        0.000        0.000        0.000    
  130   0.1906       2.2034E-02   2.2725E-03   8.6713E+04    0.000        0.000        0.000        0.000    
  131   0.1942       2.6986E-02   2.3722E-03   8.7210E+04    0.000        0.000        0.000        0.000    
  132   0.1907       2.1627E-02   2.7100E-03   8.7720E+04    0.000        0.000        0.000        0.000    
  133   0.1929       2.5112E-02   2.3275E-03   8.8220E+04    0.000        0.000        0.000        0.000    
  134   0.1955       2.6992E-02   2.3722E-03   8.8726E+04    0.000        0.000        0.000        0.000    
  135   0.1940       2.6005E-02   2.1810E-03   8.9236E+04    0.000        0.000        0.000        0.000    
  136   0.1910       2.3116E-02   2.5065E-03   8.9744E+04    0.000        0.000        0.000        0.000    
  137   0.1956       2.7311E-02   2.3193E-03   9.0246E+04    0.000        0.000        0.000        0.000    
  138   0.1932       2.5741E-02   2.3804E-03   9.0757E+04    0.000        0.000        0.000        0.000    
  139   0.1996       3.1079E-02   2.2868E-03   9.1265E+04    0.000        0.000        0.000        0.000    
  140   0.1916       2.2522E-02   2.2949E-03   9.1788E+04    0.000        0.000        0.000        0.000    
  141   0.1956       2.6969E-02   2.2298E-03   9.2289E+04    0.000        0.000        0.000        0.000    
  142   0.2001       3.0241E-02   2.6204E-03   9.2804E+04    0.000        0.000        0.000        0.000    
  143   0.1957       2.6603E-02   2.3560E-03   9.3327E+04    0.000        0.000        0.000        0.000    
  144   0.1953       2.7181E-02   2.5838E-03   9.3837E+04    0.000        0.000        0.000        0.000    
  145   0.1973       2.8202E-02   2.6815E-03   9.4350E+04    0.000        0.000        0.000        0.000    
  146   0.1921       2.2587E-02   4.2033E-03   9.4865E+04    0.000        0.000        0.000        0.000    
  147   0.2351       2.8097E-02   2.4129E-03   9.5455E+04    0.000        0.000        0.000        0.000    
  148   0.1936       2.5903E-02   2.4577E-03   9.5985E+04    0.000        0.000        0.000        0.000    
  149   0.2322       2.7743E-02   2.8524E-03   9.6542E+04    0.000        0.000        0.000        0.000    
  150   0.1954       2.6066E-02   2.4414E-03   9.7103E+04    0.000        0.000        0.000        0.000    
  151   0.1941       2.5057E-02   2.8280E-03   9.7614E+04    0.000        0.000        0.000        0.000    
  152   0.1934       2.4154E-02   2.6611E-03   9.8124E+04    0.000        0.000        0.000        0.000    
  153   0.1922       2.5370E-02   2.8361E-03   9.8627E+04    0.000        0.000        0.000        0.000    
  154   0.1947       2.5716E-02   2.6815E-03   9.9133E+04    0.000        0.000        0.000        0.000    
  155   0.1965       2.6847E-02   3.6051E-03   9.9642E+04    0.000        0.000        0.000        0.000    
  156   0.1935       2.4589E-02   2.2664E-03   1.0016E+05    0.000        0.000        0.000        0.000    
  157   0.2609       2.5370E-02   2.3560E-03   1.0066E+05   2.8426E-02    0.000        0.000       5.4163E-02
